t_s,RPM,theta_mech_rad,theta_e_deg_true,theta_e_deg_hall_est,HA,HB,HC,HallState
0.0,780.0,0.008168140899333461,7.019999999999999,0.0,1,0,1,5
0.0001,779.6098049024512,0.016332195685160502,14.036488244122058,0.0,1,0,1,5
0.0002,779.2196098049025,0.024492164357481125,21.049464732366182,0.0,1,0,1,5
0.00030000000000000003,778.8294147073536,0.03264804691629533,28.05892946473237,0.0,1,0,1,5
0.0004,778.4392196098049,0.04079984336160311,35.06488244122061,0.0,1,0,1,5
0.0005,778.0490245122561,0.04894755369340448,42.06732366183092,0.0,1,0,1,5
0.0006000000000000001,777.6588294147074,0.05709117791169942,49.06625312656328,0.0,1,0,1,5
0.0007,777.2686343171586,0.06523071601648794,56.06167083541771,0.0,1,0,1,5
0.0008,776.8784392196098,0.07336616800777004,63.0535767883942,60.0,1,0,0,1
0.0009000000000000001,776.488244122061,0.08149753388554573,70.04197098549275,60.0,1,0,0,1
0.001,776.0980490245123,0.089624813649815,77.02685342671337,60.0,1,0,0,1
0.0011,775.7078539269635,0.09774800730057785,84.00822411205604,60.0,1,0,0,1
0.0012000000000000001,775.3176588294147,0.10586711483783427,90.98608304152077,60.0,1,0,0,1
0.0013000000000000002,774.9274637318659,0.11398213626158427,97.96043021510756,60.0,1,0,0,1
0.0014,774.5372686343171,0.12209307157182785,104.93126563281642,60.0,1,0,0,1
0.0015,774.1470735367684,0.130199920768565,111.89858929464731,60.0,1,0,0,1
0.0016,773.7568784392196,0.13830268385179575,118.86240120060032,60.0,1,0,0,1
0.0017000000000000001,773.3666833416709,0.14640136082152008,125.82270135067535,120.0,1,1,0,3
0.0018000000000000002,772.976488244122,0.154495951677738,132.77948974487245,120.0,1,1,0,3
0.0019,772.5862931465733,0.16258645642044947,139.7327663831916,120.0,1,1,0,3
0.002,772.1960980490245,0.17067287504965453,146.68253126563283,120.0,1,1,0,3
0.0021000000000000003,771.8059029514758,0.17875520756535315,153.62878439219608,120.0,1,1,0,3
0.0022,771.415707853927,0.1868334539675454,160.57152576288144,120.0,1,1,0,3
